geneIDs	disper	pval	padj	TEcontrol	TEtreated	log2FC_TE(treated vs control)	
Zc3h14	0.0031809759859525192	0.5627238310620786	0.8173970225128102	0.18874785152637014	0.18032517023798628	-0.06585943685784246
Troap	nan	nan	nan	0.522657156939501	0.26615678120570274	-0.9735885800178725
Clca2	nan	nan	nan	0.8625261370560536	0.46483941969751036	-0.8918357567552871
1810013L24Rik	0.0013321218557629428	0.8083434636770434	0.9382433998820505	0.23263948269494075	0.23512747685751098	0.015347174981453104
Srsf7	0.005277842523958939	0.18019767908434636	0.5018960189027233	0.16972886899480355	0.19328759506286833	0.1875170781497144
Fignl2	0.03372611959570467	0.2338949834946793	0.5620926325076813	0.10063089636036245	0.1819772035211858	0.8546844149073487
Sema6a	0.001245288002894353	0.02714255286912204	0.17957990098355076	0.2313089489501988	0.20132777868328042	-0.20027483717068817
Anapc15	0.012351616529232511	0.5576238952917503	0.8149012261923738	0.08189833461797945	0.09468214741255541	0.20925831176995757
Misp3	0.055913739623313696	0.49514272487752564	0.7767239148823575	0.1303805466804547	0.18262509227054421	0.48615637241574916
Nmb	0.032641455810323024	0.13450420392125229	0.43153559145172576	0.11340102866469438	0.24416006616496602	1.1063935311646036
Tcerg1	0.004412946816884594	0.010522776187318339	0.09730781935677783	0.3037585868848099	0.2438402217082783	-0.31698907282971556
Zfp712	0.018745534911364988	0.5715888637012226	0.8234706457183129	0.10470320017801794	0.09056783329921876	-0.20923488911512367
Fam129c	0.0866901820162316	0.9857832541761103	0.9977601271781225	0.13042402381108217	0.13211779925413514	0.018615208093470503
Atp5g3	0.00531934202907821	0.12489057023450256	0.4146027093499133	1.7877335541849373	1.579126836784402	-0.1790046773343592
Pifo	0.07831155307850414	0.009166581937716023	0.08903601069496031	0.06524932678738789	0.41987658229332103	2.6859304054199518
Olfr1045	nan	nan	nan	1.0	1.0	0.0
Olfr1049	nan	nan	nan	1.0	1.0	0.0
Vsx1	nan	nan	nan	0.2664243280883846	0.14127304545058264	-0.9152395964250906
Fyco1	0.005232411103528977	0.007826612500263175	0.08162285932477852	0.09372903347810839	0.06616175684060444	-0.5024984619740014
Tlr3	0.005384217855792736	0.44490989399987213	0.7460147890860415	0.12371433728793725	0.1379793498406395	0.157439663322251
Olfr1444	nan	nan	nan	1.0	1.0	0.0
Olfr150	nan	nan	nan	1.0	1.0	0.0
Ifi44	0.04811007173676143	0.45707159324959035	0.7529936859640655	0.29833329168456485	0.41681020265754337	0.4824656120110773
Trafd1	0.001931717033007487	0.48722960374678925	0.771887759120627	0.40191504498055425	0.3819525406228633	-0.07349719531300902
Erfl	nan	nan	nan	0.3334123955451248	0.7147753225977763	1.1001820850544233
Krt80	0.02591935616490818	0.7450209582485563	0.9124656407081564	0.10019098319387283	0.11835591664017456	0.24037915121316544
Armc8	0.0014502022905253946	0.37033270634575166	0.6888733517619713	0.2554515868638139	0.2692115859115076	0.0756906019813599
Ppil4	0.0046114600438525504	0.7282463628493042	0.90466502931319	0.3033154205117529	0.3130658270833408	0.0456471924646813
Katnbl1	0.007533617862460258	0.6526278432965376	0.8672290364631549	0.06949937115134006	0.07785835316583854	0.163851905589524
Gm21693	nan	nan	nan	1.0	1.0	0.0
Spag9	0.0028052984921326596	0.00015453256144770666	0.0053064092933435975	0.08890034122566187	0.0697832809402693	-0.3493075274796369
Taz	0.0038290322183463328	0.9880161717106738	0.9980245926852691	0.18453757313984298	0.183038880643473	-0.011764454394525004
Gfpt1	0.004166679895390848	0.48319128364095	0.7696911230654969	0.3546569209951592	0.33493421070194834	-0.08254635882400674
Abcc5	0.0047982502463359425	0.14129376874896038	0.4411690629505313	0.1937728468031065	0.17017190172240745	-0.18737357831066337
Kcnmb4	0.004428147767136085	0.5407120263073788	0.8073598434587491	0.12956419179073522	0.14417215541251643	0.15412550807529923
Hpcal1	0.01001140650577667	0.4013453409738822	0.7156256414420363	0.2815387668711753	0.3133541966640007	0.154460724982312
Tbc1d31	0.0101661204081394	0.31617647848704744	0.6428921729236632	0.16922383701304253	0.1321776571927014	-0.35645447223320215
Tmem176b	0.0030235453939363396	0.9090619908720994	0.972275646853696	0.6661963140199065	0.6612817339882104	-0.010682319973850385
Cyp3a13	nan	nan	nan	0.06063137225421042	0.1463862312884553	1.2716434837610437
Akap7	0.003816029280440368	0.43583623075270994	0.7375414445240592	0.057701614796518454	0.06298038624956281	0.12629091166244644
Ablim1	0.0020701265306276	0.041046227187129025	0.22880789560644793	0.18597033735008323	0.16259226756261802	-0.19381387839879105
Lcn5	nan	nan	nan	0.5731123021713692	1.0	0.8031102300572404
Ulk1	0.0028568122121434467	0.003404729485103286	0.04756538171093949	0.2512799426396052	0.19562597599376014	-0.36119756898936894
Cyp4b1	0.03074066261941885	0.11870225141296276	0.40316341918343807	0.2793456781447147	0.6141162987991704	1.1364603930535147
Golga3	0.006438019266946068	0.023847126099042937	0.16551275426348583	0.24190317819902749	0.1922461763711864	-0.331474819641532
Wdyhv1	0.0058600450537149495	0.0015123546295475743	0.027291859560100534	0.2015334942091135	0.32704788095775006	0.6984822369160586
Traf1	nan	nan	nan	0.20499636403820376	0.14040867241451843	-0.5459662740864908
Atoh1	nan	nan	nan	1.5795237843228094	3.101987994845542	0.9737034417240191
Rxra	0.0036451089371438176	0.05384749052853499	0.267029760326803	0.11138354021894604	0.08737141114095281	-0.35030285632833946
Dapk3	0.004716679842475982	0.4999507714723036	0.7795176719905006	0.7336058157910522	0.6879976524155494	-0.09260143402661641
Ap3m2	0.0018253409120659017	0.15426393736592647	0.4611624929452031	0.23775559675350438	0.2577504677688983	0.11649574337099966
Sirt2	0.006011348066673839	0.08304278254484121	0.3344398003911761	0.5959858095785782	0.5108327127499207	-0.22242706509907284
Inhbc	nan	nan	nan	0.3873262488655813	0.20530736467043992	-0.9157638953288187
Slit3	0.002166510913386217	0.10866335975882746	0.38493213199172116	0.5484106853227384	0.4933528930553156	-0.15263671211287633
Cts3	nan	nan	nan	1.0	1.0	0.0
Olfr74	nan	nan	nan	1.0	1.0	0.0
Dcakd	0.0029182924748349217	0.2450028558839411	0.5750928044192841	0.5761306843394178	0.6359859422720955	0.14259877992229186
Vps35l	0.0017068315378031163	0.12222089425196825	0.40938937170505435	0.28849007573719954	0.2599137664831158	-0.1504886409819406
Cyhr1	0.0012745337454248315	0.09582921988958248	0.3621489752092191	0.12096724505330866	0.13457239120394923	0.15376600366176518
Taf10	0.010555351281824764	0.0032101262495984884	0.04584228726974551	0.06329484623914501	0.10825267907039401	0.7742427910454572
