,Mouse,FLY
0,Map1a,Shank1
1,Kmt2d,Map1a
2,Srrm2,Srrm2
3,Tnrc18,Kmt2d
4,Apc,Bsn
5,Kif5c,Apc
6,Huwe1,Kif5c
7,Wnk1,Huwe1
8,Prrc2a,Ash1l
9,Fat1,Wnk1
10,Eif3a,Arid1a
11,Map1b,Med13l
12,Spen,Nisch
13,Ncor1,Shank2
14,Srcap,Prrc2a
15,Tcf20,Map1b
16,Atf7ip,Ncor1
17,Dicer1,Dst
18,Ubr4,Sptbn2
19,Smarcc1,Crebbp
20,Zfr,Cep170b
21,Celsr2,Ubr4
22,Auts2,Pclo
23,Dctn1,Sptb
24,Safb,Zfr
25,Trrap,Wdfy3
26,Crmp1,Itpr1
27,Ctnnd2,Iqsec2
28,Apc2,Unc80
29,Chd3,Trrap
30,Ylpm1,Ctnnd2
31,Ep400,Camk2a
32,Akap9,Epb41l1
33,Zmiz1,Srgap3
34,Plec,Chd3
35,Soga1,Camta2
36,Prrc2c,Atp2b2
37,Birc6,Prrc2b
38,Spag9,Kif1a
39,Akap12,Nav3
40,Pum1,Kif5a
41,Nsd3,Zmiz1
42,Hdlbp,2610507B11Rik
43,Robo1,Pcnx
44,Smarca4,Marf1
45,Prpf8,Pitpnm2
46,Zmym4,Shank3
47,Bcor,Grik5
48,Ubap2l,Arhgap32
49,Kif1b,Tanc2
50,Adar,Lrrc7
51,Ctnnb1,Iqsec1
52,Snrnp200,Macf1
53,Psmd2,Prpf8
54,Camsap1,Ank2
55,Nav1,Mprip
56,Arhgef12,Rc3h1
57,Hdac2,Arhgap21
58,Dlg5,Cdc42bpa
59,Bptf,Kif1b
60,Map2,Dmxl2
61,Chd7,4932438A13Rik
62,Flna,Aak1
63,Adnp,R3hdm1
64,Bag6,Ralgapb
65,Dhx9,Zfhx2
66,Sptbn1,Sipa1l1
67,Cdc42bpb,Fry
68,Map4k4,Mycbp2
69,Ncl,Map2
70,Sf3b1,Vps13a
71,Dchs1,Zmiz2
72,Gtf2i,Lmtk2
73,Aff4,Sptbn1
74,Pbrm1,Ulk2
75,Azin1,Cyfip2
76,Kdm5b,Frs2
77,Zmym3,Ncoa1
78,Hcfc1,Panx2
79,Larp1,Dpp8
80,Zkscan1,Ube3b
81,Zfhx4,Aff4
82,Prkdc,Camk2n1
83,Dync1h1,Herc2
84,Usp34,Hivep2
85,Stag2,Ccny
86,Smc3,Ank3
87,Baz2b,Mast2
88,Trim28,Plekhm2
89,Camsap2,Mobp
90,Smchd1,Ttbk2
91,Cltc,Syngap1
92,Eef1a1,Rapgef1
93,Dpysl5,Adgrl1
94,Ranbp2,Pten
95,Actb,Fmn2
96,Atp5b,Nf1
97,Daam1,Usf3
98,Pja2,Usp34
99,Usp22,Dync1h1
100,Usp7,Prr14l
101,Myo5a,Adcy1
102,Kif21b,Dlg4
103,Chd4,Lingo1
104,Pcm1,Ppp1r9b
105,Nckap1,Ogdh
106,Smarca5,Fth1
107,Nbea,Hipk1
108,Hspa8,Ddn
109,Mib1,Ppargc1a
110,Actg1,Ndst1
111,Hectd1,Bmpr2
112,Ttc28,Zfp365
113,Akap6,Tmem184c
114,Rtn4,Tshz2
115,Adgrl2,Stox2
116,Myh10,Ndrg2
117,Kdm1a,Arfgef1
118,Ttc3,Git1
119,Clasp2,Arhgap5
120,Trip12,Unc13c
121,Kpnb1,Myo5a
122,Ddb1,Ralgapa1
123,Usp9x,Eif4g2
124,Csde1,Cdk16
125,Cenpf,Mapk3
126,Nes,Nckap1
127,Ipo7,Akap11
128,Hsp90ab1,Nbea
129,Hnrnpul1,Gabra5
130,Sf3b3,Me1
131,Usp11,Agap2
132,Uba1,Nsmf
133,Msh6,Dlg2
134,Iars,Mbp
135,Cand1,Hipk3
136,Xrcc5,Akap6
137,Dpysl3,Lnpep
138,Ipo5,Pds5b
139,Eef2,Brsk1
140,Sox11,Dock3
141,Ctnnd1,Adgrb2
142,Hmgcs1,Ppp2r2c
143,Ddx6,Dennd5a
144,Xpr1,Ptprj
145,Odc1,Hcn2
146,Sin3a,Xpo7
147,Klc1,Ids
148,Maged1,Ubr3
149,Peg10,Dmxl1
150,Hsp90aa1,Usp31
151,,Pkp4
152,,Htt
153,,Ttc3
154,,Clasp2
155,,Mapk8ip1
156,,Med14
157,,Zeb2
158,,Rasgrf1
159,,Tbc1d9b
160,,Usp9x
161,,Arhgap35
162,,Grin2a
163,,Rasgrp1
164,,Rnf157
165,,Kcnma1
166,,Tshz3
167,,Rc3h2
168,,Med13
169,,Dock9
170,,Myo9a
171,,Trak2
172,,Ankrd13c
173,,Arhgef17
174,,Pum2
175,,Fam171b
176,,Kcnh7
177,,Lrrc8b
178,,Akt3
179,,Usp32
180,,Rapgef4
181,,Npas2
182,,Wac
183,,Ptgds
184,,Cnksr2
185,,Fbxl16
186,,Eef2
187,,Uhrf1bp1l
188,,Kansl1
189,,Pde2a
190,,Dlgap1
191,,Ttr
192,,Zfp148
193,,Tcf25
194,,Xpr1
195,,Csnk1g2
196,,Cdkl5
