ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
0,0,0,0,FBtr0302344,0,0,
0,0,0,0,FBtr0300105,0,0,
5,3.50140056,0,0,FBtr0347010,0.892747258,0,inf
458,87.27134146,131.6933333,25.09400407,FBtr0078170,22.25145323,68.69246259,0.3239286
459,85.14190317,132.4133333,24.56192419,FBtr0078171,21.70851329,67.23594428,0.322870654
451,88.74458874,129.0666667,25.3968254,FBtr0078169,22.62708505,69.52140735,0.325469318
454,88.06983511,131.4266667,25.49498868,FBtr0078166,22.45504405,69.79012006,0.321751045
458,88.43406063,131.6933333,25.42833237,FBtr0306590,22.54791013,69.6076547,0.3239286
453,86.69856459,131.4266667,25.15342903,FBtr0078168,22.1054131,68.85513281,0.321042342
454,86.80688337,131.4266667,25.12938177,FBtr0078167,22.13303099,68.78930572,0.321751045
438,82.93883734,130.6933333,24.74783816,FBtr0330655,21.14680065,67.74486618,0.312153553
460,86.54750706,131.6933333,24.77767325,FBtr0306589,22.06689817,67.82653691,0.325343135
461,85.52875696,131.6933333,24.43290043,FBtr0306591,21.80714887,66.88275393,0.326050403
461,83.39363242,132.4133333,23.95320791,FBtr0306592,21.26275912,65.56964103,0.324277498
0,0,0,0,FBtr0113008,0,0,
10,2.552974215,1,0.255297421,FBtr0309227,0.650928305,0.698852544,0.93142439
9,2.070393375,0,0,FBtr0113416,0.527885335,0,inf
10,2.298850575,1,0.229885057,FBtr0078163,0.586134752,0.629288601,0.93142439
10,1.62601626,4,0.650406504,FBtr0309225,0.414583117,1.780426286,0.232856098
11,1.570306924,4,0.5710207,FBtr0309229,0.400378984,1.563115155,0.256141707
11,1.522070015,1.186666667,0.164199068,FBtr0078164,0.388080087,0.449479419,0.863399014
11,1.513900358,2.186666667,0.300945041,FBtr0309228,0.38599708,0.823808584,0.468551904
11,1.670970682,4,0.607625703,FBtr0309226,0.426045084,1.663317888,0.256141707
95,22.8750301,7,1.685528534,FBtr0306539,5.832414787,4.613974934,1.264075958
95,27.50434279,5.386666667,1.559544489,FBtr0306538,7.012744241,4.269105529,1.642672966
102,27.33851514,5.386666667,1.443759493,FBtr0306536,6.970463395,3.952155052,1.763712026
95,25.07257852,7,1.847453154,FBtr0306537,6.392720667,5.057228266,1.264075958
102,25.24752475,7,1.732673267,FBtr0078100,6.437326467,4.743029183,1.357218397
