Geneid	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RNA_3	Fmr1_RNA_4	control_RNA_3_x	Fmr1_RPF_2	control_RNA_2	control_RNA_3_y	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1		
Fmr1	24	541	426	570	1649	1447	363	36	2035	363	476	1819	583	28		
Zc3h14	243	1699	247	319	1377	1690	1235	255	1488	1235	1448	1403	355	227		0.07668
Troap	1	4	3	1	0	5	5	0	3	5	7	3	0	2		3.834
Clca2	0	3	1	0	1	0	0	0	2	0	0	0	1	0		
1810013L24Rik	433	2180	360	426	1556	1633	1752	422	1720	1752	1928	1655	456	388		
Srsf7	254	1627	194	263	1245	1133	1308	266	1573	1308	1393	1401	288	238		
Fignl2	4	24	1	9	39	26	19	6	39	19	32	34	2	3		
Sema6a	295	1856	339	425	1510	1541	1435	316	1622	1435	1580	1644	426	270		
Anapc15	11	214	15	16	182	202	108	15	203	108	172	165	19	15		
Misp3	2	10	5	0	12	19	8	2	20	8	14	24	2	1		
Nmb	5	33	1	3	20	29	23	5	16	23	41	17	4	10		
Tcerg1	260	1496	351	500	1245	1244	1271	342	1564	1271	1288	1409	510	292		
Zfp712	24	307	30	26	231	188	228	17	331	228	248	237	26	20		
Fam129c	1	26	2	3	21	7	11	2	17	11	21	12	1	3		
Atp5g3	3851	3434	4506	5601	2491	2262	2391	4440	3066	2391	2888	3033	5667	4089		
Pifo	3	8	1	1	7	12	9	1	14	9	7	25	1	5		
Olfr1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vsx1	0	3	0	3	4	0	1	1	9	1	3	4	1	0		
Fyco1	49	1167	76	81	785	862	672	66	861	672	929	844	98	51		
Tlr3	25	318	33	40	260	312	229	51	258	229	277	276	38	30		
Olfr1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr150	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ifi44	2	25	6	9	20	15	3	9	23	3	15	25	5	6		
Trafd1	275	894	302	399	751	890	704	313	816	704	851	922	408	258		
Erfl	0	1	0	2	0	0	0	2	5	0	2	2	0	0		
Krt80	8	93	2	14	63	78	50	8	53	50	81	49	5	8		
Armc8	367	1907	390	485	1532	1712	1429	453	1820	1429	1721	1753	547	410		
Ppil4	243	1059	232	334	816	855	910	313	1033	910	871	981	352	247		
Katnbl1	27	373	14	25	246	264	299	17	343	299	308	289	27	24		
Gm21693	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Spag9	715	12829	869	1124	10347	10339	11121	765	11629	11121	11214	11300	1175	718		
Taz	65	432	69	85	374	377	330	63	350	330	390	400	70	68		
Gfpt1	539	1897	499	624	1459	1427	1680	557	1750	1680	1679	1624	690	474		
Abcc5	318	2303	311	414	1581	1693	1463	316	1928	1463	2116	2027	418	278		
Kcnmb4	39	364	30	47	251	260	239	31	299	239	288	265	37	45		
Hpcal1	142	460	154	202	520	746	441	128	510	441	474	578	183	120		
Tbc1d31	14	126	21	21	103	94	84	8	127	84	128	121	18	17		
Tmem176b	206	419	214	292	339	405	272	219	344	272	338	350	277	202		
Cyp3a13	0	5	0	1	2	4	7	0	4	7	9	9	0	0		
Akap7	70	1439	71	76	1352	1361	1122	79	1349	1122	1236	1259	104	63		
Ablim1	330	2711	334	508	1874	2103	1904	378	2199	1904	2372	2286	447	315		
Lcn5	0	0	0	0	0	0	0	0	2	0	0	1	0	0		
Ulk1	168	1250	219	259	875	919	847	218	878	847	1137	937	258	175		
Cyp4b1	5	12	2	5	9	10	6	9	9	6	8	11	2	2		
Golga3	240	1480	246	352	1070	1116	1389	239	1298	1389	1306	1298	350	223		
Wdyhv1	56	235	34	55	205	202	152	58	170	152	204	220	43	63		
Traf1	0	12	3	0	5	7	9	1	11	9	7	10	2	2		
Atoh1	0	0	0	2	0	0	0	5	0	0	0	0	0	1		
Rxra	47	659	54	81	545	640	509	42	541	509	596	559	74	51		
Dapk3	314	517	271	354	349	462	353	285	390	353	452	449	362	220		
Ap3m2	642	3072	588	724	2474	2769	2558	667	2662	2558	2770	2924	787	637		
Sirt2	862	2245	970	1279	1664	2208	1411	949	1673	1411	1983	1796	1329	797		
Inhbc	0	2	0	1	0	1	0	1	0	0	4	2	0	0		
Slit3	445	1051	438	637	881	1019	871	459	923	871	953	1012	654	374		
Cts3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr74	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dcakd	247	590	237	333	443	544	397	310	467	397	469	473	341	277		
Vps35l	264	1254	256	360	929	1120	904	277	1040	904	1116	1083	371	235		
Cyhr1	259	2474	222	307	1922	2180	1914	291	2072	1914	2215	2053	284	251		
Taf10	40	496	20	45	444	567	347	50	428	347	416	398	32	33		
Hagh	556	1318	493	681	1150	1388	1052	579	1266	1052	1183	1267	712	562		
Ogfod3	45	75	39	32	64	65	39	41	77	39	72	58	58	35		
Syn1	4016	6725	4124	5462	3687	3637	5154	4414	4663	5154	6159	4638	5570	3922		
Glyatl3	0	0	1	0	1	0	0	0	1	0	0	0	0	1		
Slx	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ccl27a	55	1008	29	50	667	708	493	55	762	493	879	803	56	64		
Sqor	34	59	25	42	76	104	64	47	73	64	61	96	37	40		
Fundc2	216	1061	171	254	1147	881	1182	247	1204	1182	909	1023	242	234		
Rab5if	144	1140	146	170	962	1149	866	165	1063	866	1007	1043	176	150		
H1f5	47	116	34	48	97	71	75	44	109	75	95	87	51	48		
Ankrd2	0	3	1	1	1	6	2	0	3	2	7	1	0	2		
Pop4	111	506	107	141	477	571	443	119	518	443	480	513	118	135		
Carnmt1	3	41	3	0	38	40	47	3	33	47	36	33	1	0		
Iqcm	0	3	0	0	7	8	3	0	2	3	3	7	0	0		
Clcc1	119	441	138	177	336	420	350	152	406	350	395	419	213	121		
Magea2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ilf3	393	1126	513	626	811	835	805	406	871	805	976	956	690	374		
