geneIDs	disper	pval	padj	TEcontrol	TEtreated	log2FC_TE(treated vs control)
Ipo5	0.001220051	1.30E-05	0.063471751	0.335969	0.4118717	0.293866881
Matr3	0.002863156	2.63E-05	0.063471751	0.298988394	0.384120682	0.361470161
Opa1	0.000632572	2.92E-05	0.063471751	0.1510678	0.178038661	0.236994374
Cox6a1	0.004313035	1.71E-05	0.063471751	0.451248764	0.326854851	-0.46527287
Dad1	0.006510213	3.14E-05	0.063471751	0.862965259	0.569279569	-0.600165158
Oxa1l	0.003621199	1.81E-05	0.063471751	0.573680038	0.397635055	-0.528801369
Top2b	0.001852004	1.05E-05	0.063471751	0.203948482	0.259475807	0.347395261
Tmub1	0.00486365	5.11E-05	0.064972974	0.461568956	0.271648703	-0.764804034
Ddx3y	0.003668851	4.24E-05	0.064972974	0.216877745	0.297716385	0.457056609
Zfp511	0.005749262	6.89E-05	0.064972974	0.377174306	0.194840109	-0.952940703
Abcd3	0.002440061	6.58E-05	0.064972974	0.299493336	0.388096862	0.373892868
Syngr3	0.003037803	5.98E-05	0.064972974	0.319735996	0.243433821	-0.393351554
Prep	0.001601619	4.39E-05	0.064972974	0.697050426	0.901918091	0.371733393
Cct8	0.002016176	6.69E-05	0.064972974	0.5283546	0.654927717	0.309829182
Cltc	0.00413354	6.86E-05	0.064972974	0.58388363	0.771609743	0.402190495
Polr2a	0.008792657	7.37E-05	0.065155262	0.657768481	1.005662147	0.612493928
Cep250	0.007146084	8.60E-05	0.071547047	0.103291212	0.179917447	0.800617577
Lrch2	0.007417007	0.000102792	0.080805968	0.226928351	0.351770346	0.632397008
Slc4a11	0.080610818	0.000110175	0.082051077	1.170579712	0.080741061	-3.857776823
Zfp942	0.003816374	0.000129845	0.088365415	0.025269802	0.054147005	1.09946717
Pggt1b	0.003641135	0.000137241	0.088365415	0.169971381	0.260826437	0.617798254
Prpf6	0.004191621	0.000137388	0.088365415	0.462329382	0.633339705	0.454058475
Mlip	0.003916931	0.000148632	0.091441179	0.321294645	0.228482336	-0.491814305
Slc4a10	0.001474738	0.000170396	0.096443905	0.265768862	0.315188002	0.246040535
Vasn	0.004667429	0.000165534	0.096443905	0.406259278	0.23496802	-0.789936344
Rnf181	0.005145324	0.000302839	0.155966094	0.309555838	0.21743866	-0.509591196
Gm1673	0.008650454	0.00038621	0.155966094	0.779607942	0.493018431	-0.661107206
Gria2	0.001920478	0.000462938	0.155966094	0.212072138	0.251979671	0.248752254
Pds5b	0.002816454	0.00038566	0.155966094	0.181870701	0.230695122	0.343074353
Ano8	0.00338578	0.000357457	0.155966094	0.175809212	0.23640559	0.427253486
Eif3c	0.001477869	0.000318319	0.155966094	0.666677419	0.792149753	0.24878433
Cand1	0.002597997	0.000402674	0.155966094	0.328859214	0.406042998	0.304162417
Spns2	0.005023005	0.000442433	0.155966094	0.067229248	0.035467456	-0.922593137
Ovol2	0.029710121	0.000420586	0.155966094	0.415577408	0.152856945	-1.442935126
Ppm1d	0.002838064	0.000403995	0.155966094	0.511871671	0.365515791	-0.485848427
Rnf208	0.007297847	0.000375132	0.155966094	0.145595998	0.09059362	-0.684489347
Hcfc1r1	0.004320953	0.000305406	0.155966094	0.610094101	0.442355893	-0.463824238
Pnmal2	0.007080045	0.000376605	0.155966094	0.651201752	0.906544277	0.477272905
Xpot	0.00205123	0.000462622	0.155966094	0.0757658	0.101333988	0.41949946
Sox21	0.01037732	0.000455114	0.155966094	0.15731692	0.073148851	-1.104766744
Igsf21	0.003638404	0.000411941	0.155966094	0.31626274	0.232145437	-0.44609467
Zbtb11	0.003061989	0.000385172	0.155966094	0.248029325	0.324769382	0.388904925
Suz12	0.004638528	0.000497794	0.156528419	0.160730502	0.227672059	0.502313507
Alpk2	0.054615845	0.000480791	0.156528419	0.032177539	0.727219286	4.498264567
Kif24	0.042903527	0.00049581	0.156528419	0.041375085	0.227657937	2.460033588
Commd4	0.008021643	0.000571367	0.168434088	0.866977984	0.578247862	-0.584307332
Kmt5b	0.002729709	0.000548671	0.168434088	0.127777733	0.169957812	0.411540232
Ddx3x	0.002344216	0.000570674	0.168434088	0.302289932	0.367729597	0.28271237
Pfkfb1	0.043173673	0.000594295	0.171617949	0.033908091	0.47947871	3.821765282
Zc3h15	0.001476001	0.000633228	0.17568977	0.157597315	0.196135609	0.31560853
Card14	0.128479401	0.000621407	0.17568977	0.076826982	1.181246446	3.942553095
Ano2	0.038534984	0.000721984	0.179666978	0.133999677	0.357827517	1.41703481
Hnrnpd	0.01466052	0.00076579	0.179666978	0.479699494	0.753297445	0.651088718
Rps26	0.005329695	0.000754378	0.179666978	0.068540705	0.041538626	-0.722507536
Caprin1	0.002987388	0.000693134	0.179666978	0.401411737	0.496476753	0.306643364
Rrp1	0.003055305	0.000760066	0.179666978	0.494230886	0.612039447	0.308439468
Cebpd	0.014260689	0.000664863	0.179666978	0.616863293	0.273697131	-1.172370489
Chtf18	0.026671668	0.000799931	0.179666978	0.349141588	0.068260618	-2.354686834
Apoa2	0.052535518	0.000796387	0.179666978	0.750459589	0.092197176	-3.024979919
Gnl3l	0.001186083	0.000715548	0.179666978	0.214614758	0.248421916	0.211043168
Golph3	0.001635535	0.000757624	0.179666978	0.134553971	0.106740724	-0.334074264
Galt	0.005169094	0.000754669	0.179666978	0.219878582	0.149168702	-0.559762216
Arl5c	0.038982614	0.000799192	0.179666978	0.010974021	0.15537696	3.82360851
Ly6e	0.005021968	0.000846422	0.183557534	0.406453483	0.307770547	-0.401235076
Zfp239	0.00490943	0.000856169	0.183557534	0.044570191	0.024438962	-0.8668961
Lrrc32	0.011886841	0.000851553	0.183557534	0.309907022	0.137852012	-1.16871512
Leprot	0.00447828	0.000905541	0.185701575	0.126336444	0.187169151	0.567071798
1110038F14Rik	0.007610159	0.000894035	0.185701575	0.252583312	0.405311518	0.682271847
