geneIDs	disper	pval	padj	TEcontrol	TEtreated	log2FC_TE(treated vs control)	
Zc3h14	0.0031203822583528327	0.7720194724995972	0.9623040465001146	0.19228672017215284	0.1876954959137435	-0.03486509923673298
Troap	nan	nan	nan	0.33317094240557676	0.30267054881528827	-0.13851427977074993
Clca2	nan	nan	nan	0.6722184991994407	0.7295300718583522	0.11803720288658859
1810013L24Rik	0.008257961813262696	0.8599144409302154	0.9766711990092927	0.238835885385596	0.2340977882779183	-0.028908315453778588
Srsf7	0.006170374494287867	0.5277831400410955	0.9014018521672683	0.178818266171224	0.18966238806121644	0.0849394919098927
Fignl2	0.05879850312644383	0.2134216329554376	0.7459895970926952	0.18376635702068417	0.10093857499445168	-0.8643950452004003
Sema6a	0.0018761059322296944	0.22375319555899065	0.7561472184351113	0.20919118954945204	0.22857806896224034	0.12786489883611907
Anapc15	0.019523071272032327	0.7311359426575599	0.9535123508268363	0.09608924172257462	0.0871562057237133	-0.14077152277670502
Misp3	0.10556729248167228	0.10426467271711759	0.6339348096254952	0.07393711397138296	0.23509761022333733	1.6688892377959044
Nmb	0.04884155227664277	0.03701975273356628	0.5127559483007229	0.312076241241931	0.10913095584830175	-1.5158381358097774
Tcerg1	0.007612747627079413	0.027108707544987287	0.48310857904479865	0.2448959958000335	0.31018883981624684	0.3409775959057644
Zfp712	0.016829387767923493	0.5268885758702473	0.9014018521672683	0.09021408419314438	0.10513108121565115	0.22076466507785808
Fam129c	0.08230168260654741	0.326409940279053	0.811034706631812	0.18014566354162145	0.09621215705665738	-0.9048728187917034
Atp5g3	0.0063105897908250445	0.20910472883392495	0.7429405330313075	1.6285819124629404	1.8186964454582013	0.15928848158496245
Pifo	0.08937813807818776	0.4504339398522421	0.8713110388119242	0.22808420423702358	0.12202311998554403	-0.902412013333759
Olfr1045	nan	nan	nan	1.0	1.0	0.0
Olfr1049	nan	nan	nan	1.0	1.0	0.0
